user_id,image_paths,user_claim,claim_object,evidence_standard_met,evidence_standard_met_reason,risk_flags,issue_type,object_part,claim_status,claim_status_justification,supporting_image_ids,valid_image,severity
adv_negation_001,images\test\case_053\img_2.jpg;images\test\case_010\img_1.jpg;images\test\case_003\img_1.jpg,There is no dent on my bumper. Actually the problem is something else entirely.,car,false,Requirement not met: image quality is insufficient; angle is insufficient; relevant view is cropped or obstructed. Requirement considered: The claimed car panel or bumper should be visible from an angle where surface marks or deformation can be assessed.,damage_not_visible;manual_review_required,unknown,unknown,not_enough_information,Claimed dent on unknown. Visible unknown on unknown in supporting images: none. Evidence standard not satisfied. Confidence 0.00. Rule decision: Requirement not met: image quality is insufficient; angle is insufficient; relevant view is cropped or obstructed. Requirement considered: The claimed car panel or bumper should be visible from an angle where surface marks or deformation can be assessed. Risk flags: damage_not_visible;manual_review_required.,none,false,unknown
adv_negation_002,images\test\case_011\img_1.jpg,"I did NOT say there was a scratch. I said there might be a crack, but I am not sure.",car,false,Requirement not met: image quality is insufficient; angle is insufficient; relevant view is cropped or obstructed. Requirement considered: The claimed car panel or bumper should be visible from an angle where surface marks or deformation can be assessed.,damage_not_visible;manual_review_required,unknown,unknown,not_enough_information,Claimed scratch on unknown. Visible unknown on unknown in supporting images: none. Evidence standard not satisfied. Confidence 0.00. Rule decision: Requirement not met: image quality is insufficient; angle is insufficient; relevant view is cropped or obstructed. Requirement considered: The claimed car panel or bumper should be visible from an angle where surface marks or deformation can be assessed. Risk flags: damage_not_visible;manual_review_required.,none,false,unknown
adv_negation_003,images/test/nonexistent/missing.jpg,"Customer: No damage. Just checking if everything is fine. | Support: Are you sure? | Customer: Yes, no issues at all.",car,false,"Requirement not met: image quality is insufficient; angle is insufficient; relevant view is cropped or obstructed. Requirement considered: The submitted images should provide visual evidence that is usable, relevant to the claim, and grounded in the claimed object.",damage_not_visible;manual_review_required,unknown,unknown,not_enough_information,"Claimed unknown on unknown. Visible unknown on unknown in supporting images: none. Evidence standard not satisfied. Confidence 0.00. Rule decision: Requirement not met: image quality is insufficient; angle is insufficient; relevant view is cropped or obstructed. Requirement considered: The submitted images should provide visual evidence that is usable, relevant to the claim, and grounded in the claimed object. Risk flags: damage_not_visible;manual_review_required.",none,false,unknown
adv_negation_004,images\test\case_056\img_2.jpg;images\test\case_047\img_1.jpg;images\test\case_007\img_1.jpg,The crack is NOT on the windshield. It is on the rear window.,car,false,"Requirement not met: image quality is insufficient; angle is insufficient; relevant view is cropped or obstructed. Requirement considered: The claimed glass, light, mirror, or component should be visible clearly enough to inspect cracks, breakage, or missing parts.",damage_not_visible;manual_review_required,unknown,unknown,not_enough_information,"Claimed crack on unknown. Visible unknown on unknown in supporting images: none. Evidence standard not satisfied. Confidence 0.00. Rule decision: Requirement not met: image quality is insufficient; angle is insufficient; relevant view is cropped or obstructed. Requirement considered: The claimed glass, light, mirror, or component should be visible clearly enough to inspect cracks, breakage, or missing parts. Risk flags: damage_not_visible;manual_review_required.",none,false,unknown
adv_negation_005,images\test\case_007\img_1.jpg,"I never said the screen was broken. The hinge is loose, not the screen.",laptop,false,"Requirement not met: image quality is insufficient; angle is insufficient; relevant view is cropped or obstructed. Requirement considered: The claimed laptop hinge, lid, corner, body, base, or port should be visible with enough context to identify the relevant laptop part.",damage_not_visible;manual_review_required,unknown,unknown,not_enough_information,"Claimed broken_part on hinge. Visible unknown on unknown in supporting images: none. Evidence standard not satisfied. Confidence 0.00. Rule decision: Requirement not met: image quality is insufficient; angle is insufficient; relevant view is cropped or obstructed. Requirement considered: The claimed laptop hinge, lid, corner, body, base, or port should be visible with enough context to identify the relevant laptop part. Risk flags: damage_not_visible;manual_review_required.",none,false,unknown
adv_negation_006,images/test/nonexistent/missing.jpg,There is no water damage on the laptop. It is just a coffee stain on the keyboard.,laptop,false,"Requirement not met: image quality is insufficient; angle is insufficient; relevant view is cropped or obstructed. Requirement considered: The claimed laptop screen, keyboard, or trackpad area should be visible clearly enough to inspect cracks, stains, missing keys, or surface damage.",damage_not_visible;manual_review_required,unknown,unknown,not_enough_information,"Claimed water_damage on keyboard. Visible unknown on unknown in supporting images: none. Evidence standard not satisfied. Confidence 0.00. Rule decision: Requirement not met: image quality is insufficient; angle is insufficient; relevant view is cropped or obstructed. Requirement considered: The claimed laptop screen, keyboard, or trackpad area should be visible clearly enough to inspect cracks, stains, missing keys, or surface damage. Risk flags: damage_not_visible;manual_review_required.",none,false,unknown
adv_negation_007,images\test\case_025\img_1.jpg;images\test\case_045\img_1.jpg;images\test\case_051\img_3.jpg,The package is NOT crushed. The seal is torn but the box is fine.,package,false,"Requirement not met: image quality is insufficient; angle is insufficient; relevant view is cropped or obstructed. Requirement considered: The submitted images should provide visual evidence that is usable, relevant to the claim, and grounded in the claimed object.",damage_not_visible;manual_review_required,unknown,unknown,not_enough_information,"Claimed torn_packaging on box. Visible unknown on unknown in supporting images: none. Evidence standard not satisfied. Confidence 0.00. Rule decision: Requirement not met: image quality is insufficient; angle is insufficient; relevant view is cropped or obstructed. Requirement considered: The submitted images should provide visual evidence that is usable, relevant to the claim, and grounded in the claimed object. Risk flags: damage_not_visible;manual_review_required.",none,false,unknown
adv_negation_008,images\test\case_054\img_1.jpg,I am not reporting any damage. I am just asking for a general inspection.,car,false,"Requirement not met: image quality is insufficient; angle is insufficient; relevant view is cropped or obstructed. Requirement considered: The submitted images should provide visual evidence that is usable, relevant to the claim, and grounded in the claimed object.",damage_not_visible;manual_review_required,unknown,unknown,not_enough_information,"Claimed unknown on unknown. Visible unknown on unknown in supporting images: none. Evidence standard not satisfied. Confidence 0.00. Rule decision: Requirement not met: image quality is insufficient; angle is insufficient; relevant view is cropped or obstructed. Requirement considered: The submitted images should provide visual evidence that is usable, relevant to the claim, and grounded in the claimed object. Risk flags: damage_not_visible;manual_review_required.",none,false,unknown
adv_negation_009,images/test/nonexistent/missing.jpg,No missing parts. Everything is in the box. The seal is just open.,package,false,"Requirement not met: image quality is insufficient; angle is insufficient; relevant view is cropped or obstructed. Requirement considered: The package exterior and claimed side, corner, flap, or seal should be visible clearly enough to inspect packaging damage.",damage_not_visible;manual_review_required,unknown,unknown,not_enough_information,"Claimed missing_part on seal. Visible unknown on unknown in supporting images: none. Evidence standard not satisfied. Confidence 0.00. Rule decision: Requirement not met: image quality is insufficient; angle is insufficient; relevant view is cropped or obstructed. Requirement considered: The package exterior and claimed side, corner, flap, or seal should be visible clearly enough to inspect packaging damage. Risk flags: damage_not_visible;manual_review_required.",none,false,unknown
adv_negation_010,images\test\case_025\img_2.jpg;images\test\case_041\img_1.jpg;images\test\case_050\img_1.jpg,"Don't mark this as a dent please. It is a scratch, not a dent. Very important.",car,false,Requirement not met: image quality is insufficient; angle is insufficient; relevant view is cropped or obstructed. Requirement considered: The claimed car panel or bumper should be visible from an angle where surface marks or deformation can be assessed.,damage_not_visible;manual_review_required,unknown,unknown,not_enough_information,Claimed scratch on unknown. Visible unknown on unknown in supporting images: none. Evidence standard not satisfied. Confidence 0.00. Rule decision: Requirement not met: image quality is insufficient; angle is insufficient; relevant view is cropped or obstructed. Requirement considered: The claimed car panel or bumper should be visible from an angle where surface marks or deformation can be assessed. Risk flags: damage_not_visible;manual_review_required.,none,false,unknown
