user_id,image_paths,user_claim,claim_object,adversarial_category
adv_negation_001,images\test\case_053\img_2.jpg;images\test\case_010\img_1.jpg;images\test\case_003\img_1.jpg,There is no dent on my bumper. Actually the problem is something else entirely.,car,negation
adv_negation_002,images\test\case_011\img_1.jpg,"I did NOT say there was a scratch. I said there might be a crack, but I am not sure.",car,negation
adv_negation_003,images/test/nonexistent/missing.jpg,"Customer: No damage. Just checking if everything is fine. | Support: Are you sure? | Customer: Yes, no issues at all.",car,negation
adv_negation_004,images\test\case_056\img_2.jpg;images\test\case_047\img_1.jpg;images\test\case_007\img_1.jpg,The crack is NOT on the windshield. It is on the rear window.,car,negation
adv_negation_005,images\test\case_007\img_1.jpg,"I never said the screen was broken. The hinge is loose, not the screen.",laptop,negation
adv_negation_006,images/test/nonexistent/missing.jpg,There is no water damage on the laptop. It is just a coffee stain on the keyboard.,laptop,negation
adv_negation_007,images\test\case_025\img_1.jpg;images\test\case_045\img_1.jpg;images\test\case_051\img_3.jpg,The package is NOT crushed. The seal is torn but the box is fine.,package,negation
adv_negation_008,images\test\case_054\img_1.jpg,I am not reporting any damage. I am just asking for a general inspection.,car,negation
adv_negation_009,images/test/nonexistent/missing.jpg,No missing parts. Everything is in the box. The seal is just open.,package,negation
adv_negation_010,images\test\case_025\img_2.jpg;images\test\case_041\img_1.jpg;images\test\case_050\img_1.jpg,"Don't mark this as a dent please. It is a scratch, not a dent. Very important.",car,negation
adv_sarcasm_011,images\test\case_040\img_2.jpg,"Oh great, another perfect delivery from this company. Box is completely destroyed. Thanks.",package,sarcasm
adv_sarcasm_012,images/test/nonexistent/missing.jpg,Fantastic. My brand new laptop arrived pre-broken. Really appreciate the quality control.,laptop,sarcasm
adv_sarcasm_013,images\test\case_028\img_1.jpg;images\test\case_014\img_1.jpg;images\test\case_020\img_1.jpg,Love how the bumper fell off for no reason. Totally normal thing that happens.,car,sarcasm
adv_sarcasm_014,images\test\case_037\img_1.jpg,Brilliant packaging. The box looks like it was used for football practice.,package,sarcasm
adv_sarcasm_015,images/test/nonexistent/missing.jpg,Just perfect. Screen is cracked right out of the box. Exactly what I paid for.,laptop,sarcasm
adv_sarcasm_016,images\test\case_034\img_1.jpg;images\test\case_051\img_3.jpg;images\test\case_027\img_2.jpg,Amazing quality. The door just fell off while I was driving. Top notch engineering.,car,sarcasm
adv_sarcasm_017,images\test\case_047\img_1.jpg,Superb. The seal is already broken. Someone clearly opened this before me.,package,sarcasm
adv_sarcasm_018,images/test/nonexistent/missing.jpg,Lovely. Water damage on day one of owning this. Must be the new waterproof feature.,laptop,sarcasm
adv_contradictory_019,images\test\case_037\img_1.jpg;images\test\case_007\img_2.jpg;images\test\case_048\img_1.jpg,Customer: There is a dent on the rear bumper. | Support: How did it happen? | Customer: Actually nothing happened. I just noticed it. But also maybe it was there before.,car,contradictory
adv_contradictory_020,images\test\case_006\img_1.jpg,"Customer: The screen is cracked. | Support: Can you see the crack? | Customer: No wait, it is fine. Actually there is a scratch on the trackpad instead.",laptop,contradictory
adv_contradictory_021,images/test/nonexistent/missing.jpg,Customer: The item is missing from the package. | Support: What item? | Customer: Actually nothing is missing. The seal was just open but everything is there.,package,contradictory
adv_contradictory_022,images\test\case_055\img_1.jpg;images\test\case_025\img_1.jpg;images\test\case_029\img_1.jpg,"Customer: The windshield is shattered. | Support: Completely shattered? | Customer: No, just a crack. Actually maybe not even a crack. Just a scratch.",car,contradictory
adv_contradictory_023,images\test\case_037\img_1.jpg,Customer: The corner is crushed. | Support: Badly? | Customer: Actually the box is fine. The corner is slightly bent but it is fine.,package,contradictory
adv_contradictory_024,images/test/nonexistent/missing.jpg,Customer: Water damage on the keyboard. | Support: How much water? | Customer: Actually no water. It is just sticky from soda. But I said water damage.,laptop,contradictory
adv_contradictory_025,images\test\case_042\img_1.jpg;images\test\case_053\img_2.jpg;images\test\case_036\img_2.jpg,Customer: The hinge is broken. | Support: Does it still move? | Customer: Yes it moves fine. Actually it works perfectly. Sorry for wasting time.,laptop,contradictory
adv_contradictory_026,images\test\case_020\img_1.jpg,Customer: Dent on the door and scratch on the bumper. | Support: Two issues? | Customer: Yes both. Actually just the dent. No scratch. Actually I don't remember.,car,contradictory
adv_contradictory_027,images/test/nonexistent/missing.jpg,"Customer: Tail light is broken. | Support: The red one? | Customer: No sorry, the headlight. Actually both are fine. Just a crack on the headlight.",car,contradictory
adv_contradictory_028,images\test\case_056\img_1.jpg;images\test\case_054\img_1.jpg;images\test\case_006\img_1.jpg,"Customer: A part is missing from the package. | Support: Which part? | Customer: Never mind, I found it. But there is a tear on the packaging.",package,contradictory
adv_misleading_029,images\test\case_042\img_2.jpg,Customer: Water damage on the laptop screen. | Support: Can you describe the damage? | Customer: There are lines across the display. Must be water damage.,laptop,misleading
adv_misleading_030,images/test/nonexistent/missing.jpg,"Customer: There is a dent on the hood. It is very deep. | Support: Dents are round, correct? | Customer: Yes, a big round dent.",car,misleading
adv_misleading_031,images\test\case_028\img_1.jpg;images\test\case_053\img_2.jpg;images\test\case_048\img_1.jpg,"Customer: The item inside is missing. | Support: Did you open the box? | Customer: Yes, nothing inside.",package,misleading
adv_misleading_032,images\test\case_025\img_1.jpg,Customer: The windshield is completely shattered. I can barely see through it. | Support: Any cracks? | Customer: Everywhere.,car,misleading
adv_misleading_033,images/test/nonexistent/missing.jpg,Customer: The package is completely crushed. The item inside must be destroyed. | Support: Show the damage. | Customer: It is bad.,package,misleading
adv_misleading_034,images\test\case_031\img_1.jpg;images\test\case_038\img_1.jpg;images\test\case_028\img_1.jpg,"Customer: The hinge is snapped in half. | Support: Can you close the laptop? | Customer: No, it is completely broken.",laptop,misleading
